,Entry,Formula,Structure,A,B,INT_AA_dist,INT_BB_dist,INT_AB_dist,INT_Asize,INT_Bsize,INT_Asize_by_Bsize,INT_AA_dist_by_2_by_Asize,INT_BB_dist_by_2_by_Bsize,INT_AB_dist_by_ABsizes,INT_Asize_ref,INT_Bsize_ref,INT_percent_diff_A_by_100,INT_percent_diff_B_by_100,INT_dist_AA_minus_ref_diff,INT_dist_BB_minus_ref_diff,INT_dist_AB_minus_ref_diff,INT_R_factor,INT_UNI_shortest_homoatomic_dist,INT_UNI_shortest_heteroatomic_dist,INT_UNI_shortest_homoatomic_dist_by_2_by_atom_size,INT_UNI_shortest_heteroatomic_dist_by_sum_of_atom_sizes,INT_UNI_shortest_homoatomic_dist_by_2_by_refined_atom_size,INT_UNI_shortest_heteroatomic_dist_by_sum_of_refined_atom_sizes,INT_UNI_highest_refined_percent_diff_abs,INT_UNI_lowest_refined_percent_diff_abs,INT_UNI_refined_packing_efficiency,WYK_A_lowest_wyckoff,WYK_B_lowest_wyckoff,WYK_identical_lowest_wyckoff_count,WYK_A_sites_total,WYK_B_sites_total,WYK_A_multiplicity_total,WYK_B_multiplicity_total,ENV_A_shortest_dist_count,ENV_B_shortest_dist_count,ENV_A_avg_shortest_dist_count,ENV_B_avg_shortest_dist_count,ENV_A_shortest_tol_dist_count,ENV_B_shortest_tol_dist_count,ENV_A_avg_shortest_dist_within_tol_count,ENV_B_avg_shortest_dist_within_tol_count,ENV_A_second_by_first_shortest_dist,ENV_B_second_by_first_shortest_dist,ENV_A_avg_second_by_first_shortest_dist,ENV_B_avg_second_by_first_shortest_dist,ENV_A_second_shortest_dist_count,ENV_B_second_shortest_dist_count,ENV_A_avg_second_shortest_dist_count,ENV_B_avg_second_shortest_dist_count,ENV_A_homoatomic_dist_by_shortest_dist,ENV_B_homoatomic_dist_by_shortest_dist,ENV_A_avg_homoatomic_dist_by_shortest_dist,ENV_B_avg_homoatomic_dist_by_shortest_dist,ENV_A_count_at_A_shortest_dist,ENV_A_count_at_B_shortest_dist,ENV_A_avg_count_at_A_shortest_dist,ENV_A_avg_count_at_B_shortest_dist,ENV_B_count_at_A_shortest_dist,ENV_B_count_at_B_shortest_dist,ENV_B_avg_count_at_A_shortest_dist,ENV_B_avg_count_at_B_shortest_dist,CN_AVG_coordination_number,CN_AVG_A_atom_count,CN_AVG_B_atom_count,CN_AVG_polyhedron_volume,CN_AVG_central_atom_to_center_of_mass_dist,CN_AVG_number_of_edges,CN_AVG_number_of_faces,CN_AVG_shortest_distance_to_face,CN_AVG_shortest_distance_to_edge,CN_AVG_volume_of_inscribed_sphere,CN_AVG_packing_efficiency,CN_MIN_coordination_number,CN_MIN_A_atom_count,CN_MIN_B_atom_count,CN_MIN_polyhedron_volume,CN_MIN_central_atom_to_center_of_mass_dist,CN_MIN_number_of_edges,CN_MIN_number_of_faces,CN_MIN_shortest_distance_to_face,CN_MIN_shortest_distance_to_edge,CN_MIN_volume_of_inscribed_sphere,CN_MIN_packing_efficiency,CN_MAX_coordination_number,CN_MAX_A_atom_count,CN_MAX_B_atom_count,CN_MAX_polyhedron_volume,CN_MAX_central_atom_to_center_of_mass_dist,CN_MAX_number_of_edges,CN_MAX_number_of_faces,CN_MAX_shortest_distance_to_face,CN_MAX_shortest_distance_to_edge,CN_MAX_volume_of_inscribed_sphere,CN_MAX_packing_efficiency
0,252014,LuSb,NaCl,Lu,Sb,4.284,4.284,3.029,1.718,1.434,1.198,1.247,1.494,0.961,1.646,1.383,-0.042,-0.035,0.232,0.354,0.0,0.003,4.284,3.029,1.247,0.961,1.302,1.0,0.042,0.035,0.535,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.414,1.414,1.414,1.414,12,12,12.0,12.0,1.414,1.414,1.414,1.414,0,6,0.0,6.0,6,0,6.0,0.0,10.5,7.5,3.0,92.635,0.0,18.75,12.5,2.29,2.475,65.129,0.654,6.0,3.0,3.0,37.054,0.0,12.0,8.0,1.749,2.142,22.403,0.605,6.0,9.0,3.0,111.162,0.0,21.0,14.0,2.471,2.585,79.372,0.67
1,251912,GdSb,NaCl,Gd,Sb,4.396,4.396,3.108,1.787,1.434,1.246,1.23,1.533,0.965,1.718,1.39,-0.038,-0.031,0.218,0.368,0.0,0.002,4.396,3.108,1.23,0.965,1.279,1.0,0.038,0.031,0.541,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.414,1.414,1.414,1.414,12,12,12.0,12.0,1.414,1.414,1.414,1.414,0,6,0.0,6.0,6,0,6.0,0.0,10.5,7.5,3.0,100.113,0.0,18.75,12.5,2.35,2.539,70.359,0.654,6.0,3.0,3.0,40.04,0.0,12.0,8.0,1.794,2.198,24.202,0.604,6.0,9.0,3.0,120.138,0.0,21.0,14.0,2.535,2.653,85.745,0.67
2,250957,PdIn,CsCl,In,Pd,3.249,3.25,2.814,1.624,1.376,1.18,1.0,1.181,0.938,1.516,1.298,-0.067,-0.056,0.067,0.201,0.0,0.008,3.249,2.814,1.0,0.938,1.072,1.0,0.067,0.056,0.692,1,1,2,1,1,1,1,8,8,8.0,8.0,8,8,8.0,8.0,1.155,1.155,1.155,1.155,1,6,1.0,6.0,1.155,1.155,1.155,1.155,0,8,0.0,8.0,8,0,8.0,0.0,14.0,7.0,7.0,68.634,0.0,36.0,24.0,2.391,2.298,57.295,0.834,14.0,7.0,7.0,68.634,0.0,36.0,24.0,2.391,2.298,57.295,0.834,14.0,7.0,7.0,68.634,0.0,36.0,24.0,2.391,2.298,57.295,0.834
3,252007,TmSb,NaCl,Tm,Sb,4.307,4.307,3.045,1.726,1.434,1.204,1.248,1.502,0.964,1.658,1.387,-0.039,-0.033,0.23,0.356,0.0,0.003,4.307,3.045,1.248,0.964,1.299,1.0,0.039,0.033,0.536,4,4,2,1,1,4,4,4,3,4.0,3.0,6,6,6.0,6.0,1.0,1.0,1.0,1.0,2,3,2.0,3.0,1.414,1.414,1.414,1.414,0,3,0.0,3.0,4,0,4.0,0.0,10.5,7.5,3.0,94.143,0.0,21.0,14.0,2.302,2.488,66.168,0.654,6.0,3.0,3.0,37.66,0.0,12.0,8.0,1.758,2.153,22.764,0.604,6.0,9.0,3.0,112.97,0.0,24.0,16.0,2.484,2.599,80.636,0.67
4,250954,YbIn,CsCl,In,Yb,3.828,3.828,3.315,1.624,1.939,0.838,1.179,0.987,0.93,1.522,1.793,-0.063,-0.075,0.205,0.063,0.0,0.01,3.828,3.315,1.179,0.93,1.258,1.0,0.075,0.063,0.694,1,1,2,1,1,1,1,8,8,8.0,8.0,8,8,8.0,8.0,1.155,1.155,1.155,1.155,6,6,6.0,6.0,1.155,1.155,1.155,1.155,0,8,0.0,8.0,8,0,8.0,0.0,14.0,7.0,7.0,112.188,0.0,36.0,24.0,2.853,2.707,97.296,0.867,14.0,7.0,7.0,112.188,0.0,36.0,24.0,2.853,2.707,97.296,0.867,14.0,7.0,7.0,112.188,0.0,36.0,24.0,2.853,2.707,97.296,0.867
5,252074,CeSb,NaCl,Ce,Sb,4.546,4.546,3.214,1.819,1.434,1.268,1.25,1.585,0.988,1.795,1.419,-0.013,-0.01,0.21,0.376,0.0,0.0,4.546,3.214,1.25,0.988,1.266,1.0,0.013,0.01,0.545,4,4,2,1,1,4,4,3,4,3.0,4.0,6,6,6.0,6.0,1.0,1.0,1.0,1.0,3,2,3.0,2.0,1.414,1.414,1.414,1.414,0,4,0.0,4.0,3,0,3.0,0.0,10.5,7.5,3.0,110.716,0.0,18.75,12.5,2.43,2.626,77.801,0.654,6.0,3.0,3.0,44.287,0.0,12.0,8.0,1.856,2.273,26.764,0.604,6.0,9.0,3.0,132.858,0.0,21.0,14.0,2.622,2.744,94.814,0.67
6,251426,YbIn,CsCl,In,Yb,3.808,3.808,3.297,1.624,1.939,0.838,1.172,0.982,0.925,1.514,1.783,-0.068,-0.081,0.205,0.064,0.0,0.011,3.808,3.297,1.172,0.925,1.257,1.0,0.081,0.068,0.693,1,1,2,1,1,1,1,8,8,8.0,8.0,8,8,8.0,8.0,1.155,1.155,1.155,1.155,6,6,6.0,6.0,1.155,1.155,1.155,1.155,0,8,0.0,8.0,8,0,8.0,0.0,14.0,7.0,7.0,110.432,0.0,36.0,24.0,2.838,2.693,95.764,0.867,14.0,7.0,7.0,110.432,0.0,36.0,24.0,2.838,2.693,95.764,0.867,14.0,7.0,7.0,110.432,0.0,36.0,24.0,2.838,2.693,95.764,0.867
7,251988,YbSb,NaCl,Yb,Sb,4.298,4.298,3.039,1.939,1.434,1.352,1.108,1.499,0.901,1.723,1.316,-0.111,-0.082,0.198,0.388,0.0,0.019,4.298,3.039,1.108,0.901,1.247,1.0,0.111,0.082,0.552,4,4,2,1,1,4,4,3,2,3.0,2.0,6,6,6.0,6.0,1.0,1.0,1.0,1.0,3,4,3.0,4.0,1.414,1.414,1.414,1.414,0,2,0.0,2.0,3,0,3.0,0.0,10.5,7.5,3.0,93.6,0.0,18.75,12.5,2.298,2.483,65.771,0.653,6.0,3.0,3.0,37.441,0.0,12.0,8.0,1.754,2.149,22.622,0.604,6.0,9.0,3.0,112.32,0.0,21.0,14.0,2.479,2.594,80.154,0.67
8,250117,ThGe,NaCl,Ge,Th,4.275,4.275,3.023,1.225,1.798,0.681,1.745,1.189,1.0,1.225,1.798,0.0,0.0,0.427,0.159,0.0,0.0,4.275,3.023,1.745,1.0,1.745,1.0,0.0,0.0,0.58,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.414,1.414,1.414,1.414,12,12,12.0,12.0,1.414,1.414,1.414,1.414,0,6,0.0,6.0,6,0,6.0,0.0,10.5,3.0,7.5,92.086,0.0,18.75,12.5,2.286,2.47,64.743,0.654,6.0,3.0,3.0,36.834,0.0,12.0,8.0,1.745,2.138,22.27,0.605,6.0,3.0,9.0,110.503,0.0,21.0,14.0,2.466,2.58,78.901,0.67
9,251239,YSb,NaCl,Y,Sb,4.359,4.359,3.082,1.783,1.434,1.243,1.222,1.52,0.958,1.701,1.381,-0.046,-0.037,0.22,0.366,0.0,0.003,4.359,3.082,1.222,0.958,1.281,1.0,0.046,0.037,0.54,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.414,1.414,1.414,1.414,12,12,12.0,12.0,1.414,1.414,1.414,1.414,0,6,0.0,6.0,6,0,6.0,0.0,10.5,7.5,3.0,97.596,0.0,18.75,12.5,2.33,2.518,68.609,0.654,6.0,3.0,3.0,39.043,0.0,12.0,8.0,1.779,2.179,23.6,0.604,6.0,9.0,3.0,117.114,0.0,21.0,14.0,2.514,2.63,83.611,0.67
10,260569,GdSb,NaCl,Gd,Sb,4.391,4.391,3.105,1.787,1.434,1.246,1.229,1.531,0.964,1.716,1.389,-0.039,-0.032,0.218,0.368,0.0,0.003,4.391,3.105,1.229,0.964,1.279,1.0,0.039,0.032,0.541,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.414,1.414,1.414,1.414,12,12,12.0,12.0,1.414,1.414,1.414,1.414,0,6,0.0,6.0,6,0,6.0,0.0,10.5,7.5,3.0,99.785,0.0,18.75,12.5,2.348,2.537,70.156,0.654,6.0,3.0,3.0,39.914,0.0,12.0,8.0,1.793,2.196,24.132,0.605,6.0,9.0,3.0,119.742,0.0,21.0,14.0,2.533,2.65,85.497,0.67
11,260031,YIn,CsCl,In,Y,3.81,3.81,3.3,1.624,1.783,0.911,1.173,1.068,0.969,1.575,1.725,-0.03,-0.033,0.173,0.095,0.0,0.002,3.81,3.3,1.173,0.969,1.209,1.0,0.033,0.03,0.685,1,1,2,1,1,1,1,8,8,8.0,8.0,8,8,8.0,8.0,1.155,1.155,1.155,1.155,6,6,6.0,6.0,1.155,1.155,1.155,1.155,0,8,0.0,8.0,8,0,8.0,0.0,14.0,7.0,7.0,110.613,0.0,36.0,24.0,2.84,2.694,95.93,0.867,14.0,7.0,7.0,110.613,0.0,36.0,24.0,2.84,2.694,95.93,0.867,14.0,7.0,7.0,110.613,0.0,36.0,24.0,2.84,2.694,95.93,0.867
12,251956,ErSb,NaCl,Er,Sb,4.318,4.318,3.053,1.734,1.434,1.209,1.245,1.506,0.964,1.666,1.387,-0.039,-0.033,0.228,0.357,0.0,0.003,4.318,3.053,1.245,0.964,1.296,1.0,0.039,0.033,0.536,4,4,2,1,1,4,4,1,2,1.0,2.0,6,6,6.0,6.0,1.0,1.0,1.0,1.0,5,4,5.0,4.0,1.414,1.414,1.414,1.414,0,2,0.0,2.0,1,0,1.0,0.0,10.5,7.5,3.0,94.899,0.0,18.75,12.5,2.308,2.494,66.684,0.653,6.0,3.0,3.0,37.961,0.0,12.0,8.0,1.762,2.158,22.936,0.604,6.0,9.0,3.0,113.879,0.0,21.0,14.0,2.49,2.606,81.266,0.67
13,251994,YSb,NaCl,Y,Sb,4.359,4.359,3.082,1.783,1.434,1.243,1.222,1.52,0.958,1.701,1.381,-0.046,-0.037,0.22,0.366,0.0,0.003,4.359,3.082,1.222,0.958,1.281,1.0,0.046,0.037,0.54,4,4,2,1,1,4,4,6,5,6.0,5.0,6,6,6.0,6.0,1.414,1.0,1.414,1.0,12,1,12.0,1.0,1.414,1.414,1.414,1.414,0,5,0.0,5.0,6,0,6.0,0.0,10.5,7.5,3.0,97.618,0.0,18.75,12.5,2.33,2.518,68.597,0.654,6.0,3.0,3.0,39.049,0.0,12.0,8.0,1.779,2.179,23.596,0.604,6.0,9.0,3.0,117.141,0.0,21.0,14.0,2.514,2.63,83.598,0.67
14,251943,DySb,NaCl,Dy,Sb,4.356,4.356,3.08,1.752,1.434,1.222,1.243,1.519,0.967,1.689,1.391,-0.036,-0.03,0.225,0.361,0.0,0.002,4.356,3.08,1.243,0.967,1.29,1.0,0.036,0.03,0.538,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.414,1.414,1.414,1.414,12,12,12.0,12.0,1.414,1.414,1.414,1.414,0,6,0.0,6.0,6,0,6.0,0.0,10.5,7.5,3.0,97.393,0.0,18.75,12.5,2.329,2.516,68.475,0.654,6.0,3.0,3.0,38.957,0.0,12.0,8.0,1.778,2.178,23.554,0.605,6.0,9.0,3.0,116.872,0.0,21.0,14.0,2.512,2.629,83.448,0.67
15,260247,HoSb,NaCl,Ho,Sb,4.335,4.335,3.065,1.745,1.434,1.217,1.242,1.512,0.964,1.677,1.388,-0.039,-0.032,0.226,0.36,0.0,0.003,4.335,3.065,1.242,0.964,1.293,1.0,0.039,0.032,0.537,4,4,2,1,1,4,4,2,4,2.0,4.0,6,6,6.0,6.0,1.0,1.0,1.0,1.0,4,2,4.0,2.0,1.414,1.414,1.414,1.414,0,4,0.0,4.0,2,0,2.0,0.0,10.5,7.5,3.0,96.022,0.0,18.75,12.5,2.318,2.504,67.473,0.653,6.0,3.0,3.0,38.41,0.0,12.0,8.0,1.769,2.167,23.208,0.604,6.0,9.0,3.0,115.226,0.0,21.0,14.0,2.5,2.616,82.228,0.67
16,251927,TbSb,NaCl,Tb,Sb,4.371,4.371,3.09,1.764,1.434,1.23,1.239,1.524,0.966,1.699,1.391,-0.037,-0.03,0.223,0.364,0.0,0.002,4.371,3.09,1.239,0.966,1.286,1.0,0.037,0.03,0.539,4,4,2,1,1,4,4,3,4,3.0,4.0,6,6,6.0,6.0,1.0,1.0,1.0,1.0,3,2,3.0,2.0,1.415,1.415,1.415,1.415,0,4,0.0,4.0,3,0,3.0,0.0,10.5,7.5,3.0,98.387,0.0,18.75,12.5,2.336,2.524,69.144,0.654,6.0,3.0,3.0,39.348,0.0,12.0,8.0,1.784,2.185,23.784,0.604,6.0,9.0,3.0,118.067,0.0,21.0,14.0,2.52,2.638,84.264,0.67
17,260046,DyIn,CsCl,Dy,In,3.791,3.791,3.283,1.752,1.624,1.079,1.082,1.167,0.972,1.702,1.581,-0.029,-0.026,0.102,0.166,0.0,0.002,3.791,3.283,1.082,0.972,1.114,1.0,0.029,0.026,0.683,1,1,2,1,1,1,1,8,8,8.0,8.0,8,8,8.0,8.0,1.155,1.155,1.155,1.155,6,6,6.0,6.0,1.155,1.155,1.155,1.155,0,8,0.0,8.0,8,0,8.0,0.0,14.0,7.0,7.0,108.964,0.0,36.0,24.0,2.754,2.681,87.467,0.803,14.0,7.0,7.0,108.964,0.0,36.0,24.0,2.754,2.681,87.467,0.803,14.0,7.0,7.0,108.964,0.0,36.0,24.0,2.754,2.681,87.467,0.803
18,260052,TmIn,CsCl,In,Tm,3.737,3.737,3.236,1.624,1.726,0.941,1.151,1.083,0.966,1.57,1.666,-0.033,-0.035,0.16,0.109,0.0,0.002,3.737,3.236,1.151,0.966,1.19,1.0,0.035,0.033,0.682,1,1,2,1,1,1,1,8,8,8.0,8.0,8,8,8.0,8.0,1.155,1.155,1.155,1.155,6,6,6.0,6.0,1.155,1.155,1.155,1.155,0,8,0.0,8.0,8,0,8.0,0.0,14.0,7.0,7.0,104.368,0.0,36.0,24.0,2.714,2.642,83.782,0.803,14.0,7.0,7.0,104.368,0.0,36.0,24.0,2.714,2.642,83.782,0.803,14.0,7.0,7.0,104.368,0.0,36.0,24.0,2.714,2.642,83.782,0.803
19,251935,HoSb,NaCl,Ho,Sb,4.335,4.335,3.065,1.745,1.434,1.217,1.242,1.512,0.964,1.677,1.388,-0.039,-0.032,0.226,0.36,0.0,0.003,4.335,3.065,1.242,0.964,1.293,1.0,0.039,0.032,0.538,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.414,1.414,1.414,1.414,12,12,12.0,12.0,1.414,1.414,1.414,1.414,0,6,0.0,6.0,6,0,6.0,0.0,10.5,7.5,3.0,95.978,0.0,18.75,12.5,2.318,2.504,67.479,0.654,6.0,3.0,3.0,38.391,0.0,12.0,8.0,1.77,2.167,23.211,0.605,6.0,9.0,3.0,115.173,0.0,21.0,14.0,2.5,2.616,82.235,0.67
